"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1984 Los Angeles","Arto Härkönen Finland","David Ottley Great Britain","Kenth Eldebrink Sweden","Javelin throw","men","1984","Los Angeles","Throwing","Arto Härkönen ","David Ottley ","Kenth Eldebrink ","Finland","Great Britain","Sweden"
"1988 Seoul","Tapio Korjus Finland","Jan Železný Czechoslovakia","Seppo Räty Finland","Javelin throw","men","1988","Seoul","Throwing","Tapio Korjus ","Jan Železný ","Seppo Räty ","Finland","Czechoslovakia","Finland"
"1992 Barcelona","Jan Železný Czechoslovakia","Seppo Räty Finland","Steve Backley Great Britain","Javelin throw","men","1992","Barcelona","Throwing","Jan Železný ","Seppo Räty ","Steve Backley ","Czechoslovakia","Finland","Great Britain"
"1996 Atlanta","Jan Železný Czech Republic","Steve Backley Great Britain","Seppo Räty Finland","Javelin throw","men","1996","Atlanta","Throwing","Jan Železný ","Steve Backley ","Seppo Räty ","Czech Republic","Great Britain","Finland"
"2000 Sydney","Jan Železný Czech Republic","Steve Backley Great Britain","Sergey Makarov Russia","Javelin throw","men","2000","Sydney","Throwing","Jan Železný ","Steve Backley ","Sergey Makarov ","Czech Republic","Great Britain","Russia"
"2004 Athens","Andreas Thorkildsen Norway","Vadims Vasilevskis Latvia","Sergey Makarov Russia","Javelin throw","men","2004","Athens","Throwing","Andreas Thorkildsen ","Vadims Vasilevskis ","Sergey Makarov ","Norway","Latvia","Russia"
"2008 Beijing","Andreas Thorkildsen Norway","Ainars Kovals Latvia","Tero Pitkämäki Finland","Javelin throw","men","2008","Beijing","Throwing","Andreas Thorkildsen ","Ainars Kovals ","Tero Pitkämäki ","Norway","Latvia","Finland"
"2012 London","Keshorn Walcott Trinidad and Tobago","Antti Ruuskanen Finland","Vítezslav Veselý Czech Republic","Javelin throw","men","2012","London","Throwing","Keshorn Walcott ","Antti Ruuskanen ","Vítezslav Veselý ","Trinidad and Tobago","Finland","Czech Republic"
"2016 Rio de Janeiro","Thomas Röhler Germany","Julius Yego Kenya","Keshorn Walcott Trinidad and Tobago","Javelin throw","men","2016","Rio de Janeiro","Throwing","Thomas Röhler ","Julius Yego ","Keshorn Walcott ","Germany","Kenya","Trinidad and Tobago"
"1912 Stockholm","Jim Thorpe United States & Hugo Wieslander Sweden","Charles Lomberg Sweden","Gösta Holmér Sweden","Decathlon","men","1912","Stockholm","Multisport","Jim Thorpe  & Hugo Wieslander ","Charles Lomberg ","Gösta Holmér ","United States","Sweden","Sweden"
"1920 Antwerp","Helge Løvland Norway","Brutus Hamilton United States","Bertil Ohlson Sweden","Decathlon","men","1920","Antwerp","Multisport","Helge Løvland ","Brutus Hamilton ","Bertil Ohlson ","Norway","United States","Sweden"
"1924 Paris","Harold Osborn United States","Emerson Norton United States","Aleksander Klumberg Estonia","Decathlon","men","1924","Paris","Multisport","Harold Osborn ","Emerson Norton ","Aleksander Klumberg ","United States","United States","Estonia"
"1928 Amsterdam","Paavo Yrjölä Finland","Akilles Järvinen Finland","Ken Doherty United States","Decathlon","men","1928","Amsterdam","Multisport","Paavo Yrjölä ","Akilles Järvinen ","Ken Doherty ","Finland","Finland","United States"
"1932 Los Angeles","Jim Bausch United States","Akilles Järvinen Finland","Wolrad Eberle Germany","Decathlon","men","1932","Los Angeles","Multisport","Jim Bausch ","Akilles Järvinen ","Wolrad Eberle ","United States","Finland","Germany"
"1936 Berlin","Glenn Morris United States","Bob Clark United States","Jack Parker United States","Decathlon","men","1936","Berlin","Multisport","Glenn Morris ","Bob Clark ","Jack Parker ","United States","United States","United States"
"1948 London","Bob Mathias United States","Ignace Heinrich France","Floyd Simmons United States","Decathlon","men","1948","London","Multisport","Bob Mathias ","Ignace Heinrich ","Floyd Simmons ","United States","France","United States"
"1952 Helsinki","Bob Mathias United States","Milt Campbell United States","Floyd Simmons United States","Decathlon","men","1952","Helsinki","Multisport","Bob Mathias ","Milt Campbell ","Floyd Simmons ","United States","United States","United States"
