"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1968,16,1,17,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"200 metres","Running","1968 Mexico City","Irena Szewinska Poland","Raelene Boyle Australia","Jenny Lamy Australia","women","Mexico City","Irena Szewinska ","Raelene Boyle ","Jenny Lamy ","Poland","Australia","Australia"
1968,16,362,18,0.0125,"200 metres","Running","1968 Mexico City","Tommie Smith United States","Peter Norman Australia","John Carlos United States","men","Mexico City","Tommie Smith ","Peter Norman ","John Carlos ","United States","Australia","United States"
1972,17,1,18,0.0125,"110 metres hurdles","Running","1972 Munich","Rod Milburn United States","Guy Drut France","Thomas Hill United States","men","Munich","Rod Milburn ","Guy Drut ","Thomas Hill ","United States","France","United States"
1972,17,362,19,0.0125,"100 metres hurdles","Running","1972 Munich","Annelie Ehrhardt East Germany","Valeria Bufanu Romania","Karin Balzer East Germany","women","Munich","Annelie Ehrhardt ","Valeria Bufanu ","Karin Balzer ","East Germany","Romania","East Germany"
1976,18,1,19,0.0125,"100 metres","Running","1976 Montreal","Annegret Richter West Germany","Renate Stecher East Germany","Inge Helten West Germany","women","Montreal","Annegret Richter ","Renate Stecher ","Inge Helten ","West Germany","East Germany","West Germany"
1976,18,1,19,0.0125,"100 metres","Running","1976 Montreal","Hasely Crawford Trinidad and Tobago","Don Quarrie Jamaica","Valeriy Borzov Soviet Union","men","Montreal","Hasely Crawford ","Don Quarrie ","Valeriy Borzov ","Trinidad and Tobago","Jamaica","Soviet Union"
1976,18,362,20,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"50 kilometres race walk","Walking","1980 Moscow","Hartwig Gauder East Germany","Jordi Llopart Spain","Yevgeniy Ivchenko Soviet Union","men","Moscow","Hartwig Gauder ","Jordi Llopart ","Yevgeniy Ivchenko ","East Germany","Spain","Soviet Union"
1984,20,1,21,0.0125,"20 kilometres race walk","Walking","1984 Los Angeles","Ernesto Canto Mexico","Raúl González Mexico","Maurizio Damilano Italy","men","Los Angeles","Ernesto Canto ","Raúl González ","Maurizio Damilano ","Mexico","Mexico","Italy"
1984,20,362,22,0.0125,"10,000 metres","Running","1984 Los Angeles","Alberto Cova Italy","Mike McLeod Great Britain","Michael Musyoki Kenya","men","Los Angeles","Alberto Cova ","Mike McLeod ","Michael Musyoki ","Italy","Great Britain","Kenya"
1988,21,1,22,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,1,23,0.0125,"10 kilometers race walk","Walking","1992 Barcelona","Chen Yueling China","Yelena Nikolayeva Unified Team","Li Chunxiu China","women","Barcelona","Chen Yueling ","Yelena Nikolayeva ","Li Chunxiu ","China","Unified Team","China"
1992,22,362,24,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,362,25,0.0125,"4 × 400 metres relay","Running","1996 Atlanta","United States (USA)Rochelle StevensMaicel MaloneKim GrahamJearl MilesLinetta Wilson*","Nigeria (NGR)Olabisi AfolabiFatima YusufCharity OparaFalilat Ogunkoya","Germany (GER)Uta RohländerLinda KisabakaAnja RückerGrit Breuer","women","Atlanta"," (USA)Rochelle StevensMaicel MaloneKim GrahamJearl MilesLinetta Wilson*"," (NGR)Olabisi AfolabiFatima YusufCharity OparaFalilat Ogunkoya"," (GER)Uta RohländerLinda KisabakaAnja RückerGrit Breuer","United States","Niger","Germany"
1996,23,362,25,0.0125,"4 × 400 metres relay","Running","1996 Atlanta","United States (USA)LaMont SmithAlvin HarrisonDerek MillsAnthuan MaybankJason Rouser","Great Britain (GBR)Iwan ThomasJamie BaulchMark RichardsonRoger BlackDu'aine LadejoMark Hylton","Jamaica (JAM)Michael McDonaldRoxbert MartinGreg HaughtonDavian ClarkeDennis BlakeGarth Robinson","men","Atlanta"," (USA)LaMont SmithAlvin HarrisonDerek MillsAnthuan MaybankJason Rouser"," (GBR)Iwan ThomasJamie BaulchMark RichardsonRoger BlackDu'aine LadejoMark Hylton"," (JAM)Michael McDonaldRoxbert MartinGreg HaughtonDavian ClarkeDennis BlakeGarth Robinson","United States","Great Britain","Jamaica"
2000,24,1,25,0.0125,"4 × 100 metres relay","Running","2000 Sydney","Bahamas (BAH)Savatheda FynesChandra SturrupPauline Davis-ThompsonDebbie FergusonEldece Clarke-Lewis*","Jamaica (JAM)Tayna LawrenceVeronica CampbellBeverly McDonaldMerlene OtteyMerlene Frazer*","United States (USA)Chryste GainesTorri EdwardsNanceen Perry Marion Jones[nb]Passion Richardson*","women","Sydney","Bahamas (BAH)Savatheda FynesChandra SturrupPauline Davis-ThompsonDebbie FergusonEldece Clarke-Lewis*"," (JAM)Tayna LawrenceVeronica CampbellBeverly McDonaldMerlene OtteyMerlene Frazer*"," (USA)Chryste GainesTorri EdwardsNanceen Perry Marion Jones[nb]Passion Richardson*",NA,"Jamaica","United States"
2000,24,1,25,0.0125,"4 × 100 metres relay","Running","2000 Sydney","United States (USA)Jon DrummondBernard WilliamsBrian LewisMaurice GreeneTim Montgomery*Kenny Brokenburr*","Brazil (BRA)Vicente de LimaEdson RibeiroAndré da SilvaClaudinei da SilvaCláudio Souza","Cuba (CUB)José Ángel CésarLuis Alberto Pérez-RiondaIvan GarcíaFreddy Mayola","men","Sydney"," (USA)Jon DrummondBernard WilliamsBrian LewisMaurice GreeneTim Montgomery*Kenny Brokenburr*"," (BRA)Vicente de LimaEdson RibeiroAndré da SilvaClaudinei da SilvaCláudio Souza"," (CUB)José Ángel CésarLuis Alberto Pérez-RiondaIvan GarcíaFreddy Mayola","United States","Brazil","Cuba"
2000,24,362,26,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,1,26,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,362,27,0.0125,"Triple jump","Jumping","2004 Athens","Françoise Mbango Etone Cameroon","Hrysopiyí Devetzí Greece","Tatyana Lebedeva Russia","women","Athens","Françoise Mbango Etone ","Hrysopiyí Devetzí ","Tatyana Lebedeva ","Cameroon","Greece","Russia"
2004,25,362,27,0.0125,"Triple jump","Jumping","2004 Athens","Christian Olsson Sweden","Marian Oprea Romania","Danil Burkenya Russia","men","Athens","Christian Olsson ","Marian Oprea ","Danil Burkenya ","Sweden","Romania","Russia"
2008,26,1,27,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,1,28,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,362,29,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,1,29,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"Shot put","Throwing","2016 Rio de Janeiro","Michelle Carter United States","Valerie Adams New Zealand","Anita Márton Hungary","women","Rio de Janeiro","Michelle Carter ","Valerie Adams ","Anita Márton ","United States","New Zealand","Hungary"
2016,28,362,30,0.0125,"Shot put","Throwing","2016 Rio de Janeiro","Ryan Crouser United States","Joe Kovacs United States","Tomas Walsh New Zealand","men","Rio de Janeiro","Ryan Crouser ","Joe Kovacs ","Tomas Walsh ","United States","United States","New Zealand"
1896,1,1,2,0.0125,"Pole vault","Jumping","1896 Athens","William Hoyt United States","Albert Tyler United States","Evangelos Damaskos Greece & Ioannis Theodoropoulos Greece","men","Athens","William Hoyt ","Albert Tyler ","Evangelos Damaskos  & Ioannis Theodoropoulos ","United States","United States","Greece"
1896,1,362,3,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"Marathon","Running","1900 Paris","Michel Théato France[1]","Émile Champion France","Ernst Fast Sweden","men","Paris","Michel Théato [1]","Émile Champion ","Ernst Fast ","France","France","Sweden"
1900,2,362,4,0.0125,"Long jump","Jumping","1900 Paris","Alvin Kraenzlein United States","Myer Prinstein United States","Patrick Leahy Great Britain","men","Paris","Alvin Kraenzlein ","Myer Prinstein ","Patrick Leahy ","United States","United States","Great Britain"
1904,3,1,4,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"Javelin throw","Throwing","1908 London","Eric Lemming Sweden","Arne Halse Norway","Otto Nilsson Sweden","men","London","Eric Lemming ","Arne Halse ","Otto Nilsson ","Sweden","Norway","Sweden"
1908,4,362,6,0.0125,"High jump","Jumping","1908 London","Harry Porter United States","Géo André France & Con Leahy Great Britain & István Somodi Hungary","none awarded","men","London","Harry Porter ","Géo André  & Con Leahy  & István Somodi ","none awarded","United States","France",NA
1912,5,1,6,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,362,7,0.0125,"Hammer throw","Throwing","1912 Stockholm","Matt McGrath United States","Duncan Gillis Canada","Clarence Childs United States","men","Stockholm","Matt McGrath ","Duncan Gillis ","Clarence Childs ","United States","Canada","United States"
1920,6,1,7,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,362,8,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,1,8,0.0125,"Discus throw","Throwing","1924 Paris","Bud Houser United States","Vilho Niittymaa Finland","Thomas Lieb United States","men","Paris","Bud Houser ","Vilho Niittymaa ","Thomas Lieb ","United States","Finland","United States"
1924,7,362,9,0.0125,"Decathlon","Multisport","1924 Paris","Harold Osborn United States","Emerson Norton United States","Aleksander Klumberg Estonia","men","Paris","Harold Osborn ","Emerson Norton ","Aleksander Klumberg ","United States","United States","Estonia"
1928,8,1,9,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,362,10,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"5000 metres","Running","1932 Los Angeles","Lauri Lehtinen Finland","Ralph Hill United States","Lauri Virtanen Finland","men","Los Angeles","Lauri Lehtinen ","Ralph Hill ","Lauri Virtanen ","Finland","United States","Finland"
1936,10,1,11,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,1,12,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,1,13,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"3000 metres steeplechase","Running","1952 Helsinki","Horace Ashenfelter United States","Vladimir Kazantsev Soviet Union","John Disley Great Britain","men","Helsinki","Horace Ashenfelter ","Vladimir Kazantsev ","John Disley ","United States","Soviet Union","Great Britain"
1956,13,1,14,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,362,15,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,1,15,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,1,16,0.0125,"1500 metres","Running","1964 Tokyo","Peter Snell New Zealand","Josef Odložil Czechoslovakia","John Davies New Zealand","men","Tokyo","Peter Snell ","Josef Odložil ","John Davies ","New Zealand","Czechoslovakia","New Zealand"
1964,15,362,17,0.0125,"800 metres","Running","1964 Tokyo","Ann Packer Great Britain","Maryvonne Dupureur France","Marise Chamberlain New Zealand","women","Tokyo","Ann Packer ","Maryvonne Dupureur ","Marise Chamberlain ","Great Britain","France","New Zealand"
1964,15,362,17,0.0125,"800 metres","Running","1964 Tokyo","Peter Snell New Zealand","Bill Crothers Canada","Wilson Kiprugut Kenya","men","Tokyo","Peter Snell ","Bill Crothers ","Wilson Kiprugut ","New Zealand","Canada","Kenya"
1968,16,1,17,0.0125,"400 metres hurdles","Running","1968 Mexico City","David Hemery Great Britain","Gerhard Hennige West Germany","John Sherwood Great Britain","men","Mexico City","David Hemery ","Gerhard Hennige ","John Sherwood ","Great Britain","West Germany","Great Britain"
1968,16,362,18,0.0125,"400 metres","Running","1968 Mexico City","Colette Besson France","Lillian Board Great Britain","Natalya Pechonkina Soviet Union","women","Mexico City","Colette Besson ","Lillian Board ","Natalya Pechonkina ","France","Great Britain","Soviet Union"
1968,16,362,18,0.0125,"400 metres","Running","1968 Mexico City","Lee Evans United States","Larry James United States","Ron Freeman United States","men","Mexico City","Lee Evans ","Larry James ","Ron Freeman ","United States","United States","United States"
1972,17,1,18,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"200 metres","Running","1972 Munich","Renate Stecher East Germany","Raelene Boyle Australia","Irena Szewinska Poland","women","Munich","Renate Stecher ","Raelene Boyle ","Irena Szewinska ","East Germany","Australia","Poland"
1972,17,362,19,0.0125,"200 metres","Running","1972 Munich","Valeriy Borzov Soviet Union","Larry Black United States","Pietro Mennea Italy","men","Munich","Valeriy Borzov ","Larry Black ","Pietro Mennea ","Soviet Union","United States","Italy"
1976,18,1,19,0.0125,"110 metres hurdles","Running","1976 Montreal","Guy Drut France","Alejandro Casañas Cuba","Willie Davenport United States","men","Montreal","Guy Drut ","Alejandro Casañas ","Willie Davenport ","France","Cuba","United States"
1976,18,362,20,0.0125,"100 metres hurdles","Running","1976 Montreal","Johanna Schaller-Klier East Germany","Tatyana Anisimova Soviet Union","Natalya Lebedeva Soviet Union","women","Montreal","Johanna Schaller-Klier ","Tatyana Anisimova ","Natalya Lebedeva ","East Germany","Soviet Union","Soviet Union"
1980,19,1,20,0.0125,"100 metres","Running","1980 Moscow","Lyudmila Kondratyeva Soviet Union","Marlies Göhr East Germany","Ingrid Auerswald East Germany","women","Moscow","Lyudmila Kondratyeva ","Marlies Göhr ","Ingrid Auerswald ","Soviet Union","East Germany","East Germany"
1980,19,1,20,0.0125,"100 metres","Running","1980 Moscow","Allan Wells Great Britain","Silvio Leonard Cuba","Petar Petrov Bulgaria","men","Moscow","Allan Wells ","Silvio Leonard ","Petar Petrov ","Great Britain","Cuba","Bulgaria"
1980,19,362,21,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"50 kilometres race walk","Walking","1984 Los Angeles","Raúl González Mexico","Bo Gustafsson Sweden","Sandro Bellucci Italy","men","Los Angeles","Raúl González ","Bo Gustafsson ","Sandro Bellucci ","Mexico","Sweden","Italy"
1988,21,1,22,0.0125,"20 kilometres race walk","Walking","1988 Seoul","Jozef Pribilinec Czechoslovakia","Ronald Weigel East Germany","Maurizio Damilano Italy","men","Seoul","Jozef Pribilinec ","Ronald Weigel ","Maurizio Damilano ","Czechoslovakia","East Germany","Italy"
1988,21,362,23,0.0125,"10,000 metres","Running","1988 Seoul","Olga Bondarenko Soviet Union","Liz McColgan Great Britain","Yelena Zhupiyeva-Vyazova Soviet Union","women","Seoul","Olga Bondarenko ","Liz McColgan ","Yelena Zhupiyeva-Vyazova ","Soviet Union","Great Britain","Soviet Union"
1988,21,362,23,0.0125,"10,000 metres","Running","1988 Seoul","Brahim Boutayeb Morocco","Salvatore Antibo Italy","Kipkemboi Kimeli Kenya","men","Seoul","Brahim Boutayeb ","Salvatore Antibo ","Kipkemboi Kimeli ","Morocco","Italy","Kenya"
1992,22,1,23,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,362,24,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"10 kilometers race walk","Walking","1996 Atlanta","Yelena Nikolayeva Russia","Elisabetta Perrone Italy","Wang Yan China","women","Atlanta","Yelena Nikolayeva ","Elisabetta Perrone ","Wang Yan ","Russia","Italy","China"
1996,23,362,25,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,1,25,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"4 × 400 metres relay","Running","2000 Sydney","United States (USA)Jearl Miles ClarkMonique HennaganLaTasha ColanderMarion Jones[nb1]Andrea Anderson*","Jamaica (JAM)Sandie RichardsCatherine ScottDeon HemmingsLorraine GrahamCharmaine Howell*Michelle Burgher*","Russia (RUS)Yuliya SotnikovaSvetlana GoncharenkoOlga KotlyarovaIrina PrivalovaNatalya Nazarova*Olesya Zykina*","women","Sydney"," (USA)Jearl Miles ClarkMonique HennaganLaTasha ColanderMarion Jones[nb1]Andrea Anderson*"," (JAM)Sandie RichardsCatherine ScottDeon HemmingsLorraine GrahamCharmaine Howell*Michelle Burgher*"," (RUS)Yuliya SotnikovaSvetlana GoncharenkoOlga KotlyarovaIrina PrivalovaNatalya Nazarova*Olesya Zykina*","United States","Jamaica","Russia"
2000,24,362,26,0.0125,"4 × 400 metres relay","Running","2000 Sydney","Nigeria (NGR)Clement ChukwuJude MonyeSunday BadaEnefiok Udo-ObongNduka AwazieFidelis Gadzama","Jamaica (JAM)Michael BlackwoodGreg HaughtonChristopher WilliamsDanny McFarlaneSanjay AyreMichael McDonald","Bahamas (BAH)Avard MoncurTroy McIntoshCarl OliverChris Brown","men","Sydney"," (NGR)Clement ChukwuJude MonyeSunday BadaEnefiok Udo-ObongNduka AwazieFidelis Gadzama"," (JAM)Michael BlackwoodGreg HaughtonChristopher WilliamsDanny McFarlaneSanjay AyreMichael McDonald","Bahamas (BAH)Avard MoncurTroy McIntoshCarl OliverChris Brown","Niger","Jamaica",NA
2004,25,1,26,0.0125,"4 × 100 metres relay","Running","2004 Athens","Jamaica (JAM)Tayna LawrenceSherone SimpsonAleen BaileyVeronica CampbellBeverly McDonald*","Russia (RUS)Olga FyodorovaYuliya TabakovaIrina KhabarovaLarisa Kruglova","France (FRA)Véronique MangMuriel HurtisSylviane FélixChristine Arron","women","Athens"," (JAM)Tayna LawrenceSherone SimpsonAleen BaileyVeronica CampbellBeverly McDonald*"," (RUS)Olga FyodorovaYuliya TabakovaIrina KhabarovaLarisa Kruglova"," (FRA)Véronique MangMuriel HurtisSylviane FélixChristine Arron","Jamaica","Russia","France"
2004,25,1,26,0.0125,"4 × 100 metres relay","Running","2004 Athens","Great Britain (GBR)Jason GardenerDarren CampbellMarlon DevonishMark Lewis-Francis","United States (USA)Shawn CrawfordJustin GatlinCoby MillerMaurice GreeneDarvis Patton*","Nigeria (NGR)Olusoji FasubaUchenna EmedoluAaron EgbeleDeji Aliu","men","Athens"," (GBR)Jason GardenerDarren CampbellMarlon DevonishMark Lewis-Francis"," (USA)Shawn CrawfordJustin GatlinCoby MillerMaurice GreeneDarvis Patton*"," (NGR)Olusoji FasubaUchenna EmedoluAaron EgbeleDeji Aliu","Great Britain","United States","Niger"
2004,25,362,27,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,1,27,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
